,Rank_x,City,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index,Rank_y,Crime Index,Safety Index,Rank_x,Average Monthly Net Salary (After Tax),Rank_y,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Country
0,,Paris,22.35,2.47,2.28,40.41,43.85,129.67,0.77,,52.02,47.98,,2494.97,,87.09,45.45,67.12,85.39,73.27,65.78,France
1,,Belgrade,21.9,2.99,3.36,33.44,29.75,158.45,0.63,,37.53,62.47,,506.24,,38.47,11.62,25.6,28.01,30.89,35.12,Serbia
2,,Moscow,20.28,3.89,4.56,25.68,21.95,228.62,0.44,,39.96,60.04,,908.56,,39.43,25.56,32.78,30.06,38.27,49.05,Russia
3,,Split,18.64,2.77,3.23,36.07,30.92,143.58,0.7,,34.11,65.89,,803.07,,51.87,14.48,33.94,44.02,46.14,41.89,Croatia
4,,Milan,18.54,3.19,4.59,31.35,21.77,111.78,0.89,,42.99,57.01,,1832.59,,77.39,41.93,60.39,66.71,70.51,53.71,Italy
5,,Lisbon,17.81,4.49,5.68,22.25,17.62,108.97,0.92,,27.9,72.1,,1080.08,,50.75,31.49,41.52,39.03,41.11,46.04,Portugal
6,,Prague,17.81,3.35,3.46,29.82,28.93,115.34,0.87,,24.22,75.78,,1238.78,,45.38,24.33,35.29,38.21,33.32,62.13,Czech Republic
7,,Gdansk,17.45,4.04,4.99,24.75,20.02,133.92,0.75,,35.81,64.19,,780.94,,39.04,19.79,29.81,29.52,31.34,46.36,Poland
8,,Tirana,17.33,4.14,5.47,24.14,18.27,139.11,0.72,,38.92,61.08,,383.44,,37.75,10.19,24.54,30.41,26.39,27.67,Albania
9,,Munich,17.18,2.51,2.64,39.82,37.86,102.51,0.98,,17.48,82.52,,3033.24,,73.73,44.53,59.73,57.41,69.36,89.88,Germany
10,,Rome,16.48,3.18,4.65,31.47,21.49,100.87,0.99,,52.06,47.94,,1643.28,,70.66,32.91,52.55,59.07,68.82,55.34,Italy
11,,Budapest,16.38,3.63,4.03,27.56,24.84,129.18,0.77,,36.26,63.74,,799.98,,41.55,16.41,29.5,32.42,33.3,48.0,Hungary
12,,Poznan,16.13,4.35,5.17,23.0,19.36,124.3,0.8,,30.44,69.56,,693.1,,37.33,16.96,27.56,28.54,30.99,44.51,Poland
13,,Krakow (Cracow),16.11,3.98,4.56,25.1,21.91,125.26,0.8,,31.44,68.56,,812.47,,39.02,18.12,29.0,30.38,31.94,49.58,Poland
14,,Warsaw,15.97,4.19,4.9,23.85,20.39,121.35,0.82,,28.27,71.73,,935.0,,40.84,21.91,31.77,32.75,32.27,52.09,Poland
15,,Saint Petersburg,15.72,4.77,5.08,20.97,19.68,181.83,0.55,,39.08,60.92,,595.99,,34.75,15.29,25.42,28.58,29.9,41.5,Russia
16,,Minsk,15.55,5.03,4.84,19.87,20.68,235.95,0.42,,24.52,75.48,,448.79,,34.64,11.29,23.44,28.65,37.8,33.88,Belarus
17,,Florence,15.15,3.68,4.14,27.16,24.15,91.27,1.1,,39.09,60.91,,1524.08,,69.74,29.82,50.6,59.64,69.18,53.31,Italy
18,,Novi Sad,14.73,3.48,3.6,28.75,27.8,103.63,0.96,,40.34,59.66,,533.32,,34.82,9.12,22.49,26.32,24.91,42.03,Serbia
19,,London,14.33,3.6,4.26,27.81,23.5,95.83,1.04,,52.42,47.58,,3580.4,,78.73,64.74,72.02,57.11,79.99,88.02,United Kingdom
20,,Stockholm,14.31,2.87,3.22,34.85,31.02,89.9,1.11,,44.46,55.54,,2657.96,,74.17,36.77,56.23,63.97,74.4,83.72,Sweden
